Samples	Top 25 CD4 expression	ACE2	TMPRSS2	CD4
Lung.1	N	1.033423755	1.049218023	0.924279286
Lung.2	N	1.012837225	1.049218023	0.924279286
Lymphnode.1	N	1.033423755	1.08278537	0.919078092
Lymphnode.2	N	0.908485019	0.944482672	0.919078092
Lymphoma_burkitts(Daudi).1	N	0.959041392	0.986771734	0.913813852
Lymphoma_burkitts(Daudi).2	N	0.908485019	0.919078092	0.913813852
Lymphoma_burkitts(Raji).1	N	1.025305865	1.086359831	0.908485019
Lymphoma_burkitts(Raji).2	N	1.045322979	1.068185862	0.908485019
MedullaOblongata.1	N	1.053078443	1.049218023	0.908485019
MedullaOblongata.2	N	1.017033339	1.045322979	0.908485019
OccipitalLobe.1	N	1.721810615	1.117271296	0.908485019
OccipitalLobe.2	N	1.190331698	0.963787827	0.908485019
OlfactoryBulb.1	N	0.944482672	1.004321374	0.903089987
OlfactoryBulb.2	N	0.770852012	0.838849091	0.903089987
Ovary.1	N	0.973127854	0.968482949	0.903089987
Ovary.2	N	0.908485019	0.954242509	0.903089987
Pancreas.1	N	1.012837225	1.041392685	0.897627091
Pancreas.2	N	0.995635195	1.025305865	0.892094603
PancreaticIslet.1	N	0.995635195	1.045322979	0.892094603
PancreaticIslet.2	N	1.037426498	1.045322979	0.892094603
ParietalLobe.1	N	1	1.025305865	0.892094603
ParietalLobe.2	N	0.963787827	1.021189299	0.892094603
Pineal_day.1	N	0.995635195	1.033423755	0.892094603
Pineal_day.2	N	1.021189299	1.037426498	0.892094603
Pineal_day.3	N	0.973127854	1.029383778	0.886490725
Pineal_day.4	N	0.986771734	1.008600172	0.886490725
Pineal_day.5	N	1.004321374	1.029383778	0.880813592
Pineal_night.1	N	1.190331698	1.045322979	0.875061263
Pineal_night.2	N	0.991226076	1.025305865	0.875061263
Pineal_night.3	N	1.808885867	1.029383778	0.875061263
Pineal_night.4	N	1.117271296	1.086359831	0.875061263
Pineal_night.5	N	1.103803721	1.008600172	0.875061263
Pituitary.1	N	0.986771734	0.973127854	0.86923172
Pituitary.2	N	0.908485019	1.004321374	0.86923172
Placenta.1	N	0.954242509	1.012837225	0.86923172
Placenta.2	N	1.068185862	0.995635195	0.86332286
Pons.1	N	0.995635195	1.017033339	0.86332286
Pons.2	N	0.982271233	1.025305865	0.86332286
PrefrontalCortex.1	N	0.934498451	0.977723605	0.86332286
PrefrontalCortex.2	N	0.892094603	0.963787827	0.86332286
Prostate.1	N	0.929418926	0.86332286	0.857332496
Prostate.2	N	1.025305865	1.008600172	0.857332496
Retina.1	N	0.903089987	0.954242509	0.857332496
Retina.2	N	0.982271233	1.004321374	0.857332496
Retina.3	N	0.982271233	1.004321374	0.857332496
Retina.4	N	0.944482672	0.991226076	0.851258349
Salivarygland.1	N	0.963787827	0.934498451	0.851258349
Salivarygland.2	N	0.924279286	0.73239376	0.851258349
SkeletalMuscle.1	N	0.944482672	1.136720567	0.851258349
SkeletalMuscle.2	N	0.929418926	0.991226076	0.84509804
Skin.1	N	1.008600172	0.986771734	0.84509804
Skin.2	N	0.908485019	0.982271233	0.84509804
Small_intestine.1	N	1.478566496	1.017033339	0.84509804
Small_intestine.2	N	0.963787827	1.170261715	0.84509804
SmoothMuscle.1	N	1.120573931	0.963787827	0.838849091
SmoothMuscle.2	N	0.944482672	0.982271233	0.838849091
Spinalcord.1	N	0.959041392	0.982271233	0.838849091
Spinalcord.2	N	0.949390007	0.977723605	0.832508913
SubthalamicNucleus.1	N	2.320769228	0.982271233	0.832508913
SubthalamicNucleus.2	N	1.130333768	0.959041392	0.832508913
SuperiorCervicalGanglion.1	N	0.924279286	0.949390007	0.826074803
SuperiorCervicalGanglion.2	N	1.079181246	1	0.826074803
TemporalLobe.1	N	0.949390007	0.977723605	0.826074803
TemporalLobe.2	N	0.908485019	0.954242509	0.812913357
Testis.1	N	0.929418926	0.949390007	0.806179974
Testis.2	N	0.897627091	0.954242509	0.806179974
TestisGermCell.1	N	0.913813852	0.949390007	0.806179974
TestisGermCell.2	N	1.212187604	0.944482672	0.806179974
TestisIntersitial.1	N	1.187520721	0.959041392	0.799340549
TestisIntersitial.2	N	0.880813592	0.944482672	0.799340549
TestisLeydigCell.1	N	1.751279104	0.919078092	0.799340549
TestisLeydigCell.2	N	0.919078092	0.949390007	0.799340549
TestisSeminiferousTubule.1	N	0.913813852	0.929418926	0.792391689
TestisSeminiferousTubule.2	N	0.892094603	0.934498451	0.792391689
Thalamus.1	N	1.029383778	0.886490725	0.785329835
Thalamus.2	N	0.886490725	0.919078092	0.785329835
Thymus.1	N	0.875061263	0.924279286	0.77815125
Thymus.2	N	0.77815125	0.838849091	0.770852012
Thyroid.1	N	0.86923172	0.919078092	0.770852012
Thyroid.2	N	0.903089987	0.903089987	0.770852012
Tongue.1	N	0.875061263	0.903089987	0.770852012
Tongue.2	N	1.198657087	0.913813852	0.763427994
Tonsil.1	N	0.832508913	0.892094603	0.763427994
Tonsil.2	N	0.86332286	0.892094603	0.755874856
Trachea.1	N	2.886095732	0.86923172	0.748188027
Trachea.2	N	0.799340549	0.934498451	0.73239376
TrigeminalGanglion.1	N	1.158362492	0.944482672	0.72427587
TrigeminalGanglion.2	N	1.90579588	0.740362689	0.707570176
Uterus.1	N	0.968482949	0.84509804	0.698970004
Uterus.2	N	0.819543936	0.851258349	0.698970004
UterusCorpus.1	N	1.103803721	0.851258349	0.69019608
UterusCorpus.2	N	0.838849091	0.812913357	0.662757832
WholeBlood.1	N	0.740362689	0.785329835	0.662757832
WholeBlood.2	N	0.86923172	0.785329835	0.653212514
Wholebrain.1	N	1.860936621	0.748188027	0.643452676
Wholebrain.2	N	0.681241237	0.591064607	0.462397998
